case_number,evaluation_seed,class,prompt
46,26177,Batman_(from_Batman:_The_Animated_Series),"Batman_(from_Batman:_The_Animated_Series), cartoon character,,caricature-like,batman the animated animated animated character standing on a building, with thunderstorms, youtube video, 1 9 4 0's, mystical”, tn, trinity, electric arc, 256x256, obama as batman, by Jim Davis, trailer, superman, inspired by Frank Frazetta, [ theatrical ], lattice, wolverine"
47,23142,Superman_(from_Superman:_The_Animated_Series),"Superman_(from_Superman:_The_Animated_Series), cartoon character,,caricature-like,superman the animated movie, apocolypse, thumbnail, heroic battle scene, futuristic alternate timeline, cartoon image, artemixel, lobo, 1505, pentagon, photos, banner, uploaded, 1/30, online"
48,25896,Goku_(from_Dragon_Ball),"Goku_(from_Dragon_Ball), cartoon character,,caricature-like,a close up of a cartoon of a young gohan, 2 5 6 x 2 5 6 pixels, muscular characters, [32k hd]^10, media photo, actual photo, he is about 4 0 years old, character icon, avatar for website, highly detailed portrait of goku, aaron earley, dr 8 k, mascot, balances, rectangular"
49,26571,Naruto_Uzumaki,"Naruto_Uzumaki, cartoon character,,caricature-like,a close up of a person holding a cell phone near a forest, naruto uzumaki, profile pic, avatar image, he looks like a human minion, portrait n - 9, in black uniform, [[[[grinning evily]]]], star, cr3, sunny day time, iconic character, pulse, :6"
50,13127,Sakura_Haruno_(from_Naruto),"Sakura_Haruno_(from_Naruto), cartoon character,,caricature-like,anime girl with pink hair and green eyes in red top, avatar for website, sakura haruno in slug sage mode, [32k hd]^10, profile image, inspired by Hirosada II, portrait n - 9, discovered photo, f / 1, square, 2 0 0 0's photo, :3"
51,1007,Sasuke_Uchiha_(from_Naruto),"Sasuke_Uchiha_(from_Naruto), cartoon character,,caricature-like,anime character with a bunch of grapes in his hand, sasuke uchiha, [32k hd]^10, foam, gray, but very good looking”, n9, “ anime, shirow masamune, inspired by Edo Murtić, seven"
52,4496,"One_Piece_(Monkey_D._Luffy,_Roronoa_Zoro,_Nami,_Usopp,_Sanji,_Chopper)","One_Piece_(Monkey_D._Luffy,_Roronoa_Zoro,_Nami,_Usopp,_Sanji,_Chopper), cartoon character,,caricature-like,a picture of a man with a sword and a helmet, anime tribal boy with long hair, on clear background, caracter with brown hat, capoeira, 2 d digital, with hand crossbow, scrap, rune factory 5, n 6, rasta, anime figurine, photoshoped, a muscular, 6, ferret warrior, chinese, akali"
53,5909,Sam_and_Max,"Sam_and_Max, cartoon character,,caricature-like,cartoon rabbit standing in front of a window with a dog, from sam and max, rescue from the underworld!!!!!!, security agent, blender, closeup!!!!!!, with two characters, psx, online, easter, hot hot hot, waving, judge, subway, haunted, closeup!!!!!, the white rabbit, profile pic, silver, cutscene, bob, cowboy"
54,18644,"The_Teenage_Mutant_Ninja_Turtles_(Leonardo,_Donatello,_Michelangelo,_Raphael)","The_Teenage_Mutant_Ninja_Turtles_(Leonardo,_Donatello,_Michelangelo,_Raphael), cartoon character,,caricature-like,teenage mutant turtles standing in a line with their weapons, 2 5 6 x 2 5 6 pixels, 2 0 1 0 photo, poppy, pillar, ian, dna, sage, foto, charactor, hgtv, cutout, michael angelo, 1/400, pooka, photo”, performing, amazon"
55,22812,"The_Jetsons_(George,_Jane,_Judy,_Elroy,_Astro)","The_Jetsons_(George,_Jane,_Judy,_Elroy,_Astro), cartoon character,,caricature-like,cartoon of a man with a mustache and a shirt on, the jetsons, fry, side pose, jerma, 2 d cartoon, abcdefghijklmnopqrstuvwxyz, bulbous, drawn image, spongebob, pinocchio, ta ha, ivy, alabama, detailed »"
56,22772,Josie_and_the_Pussycats,"Josie_and_the_Pussycats, cartoon character,,caricature-like,a close up of a poster of a group of women with guitars, planet of the cats, sexy movie photo, 2 5 6 x 2 5 6 pixels, ponytails, mtv, panasonic, doing a sassy pose, blur:-1, sony pictures, dvd, gustav, white ( cat ) girl, screw, cory, dirty"
57,18121,He-Man_(from_Masters_of_the_Universe),"He-Man_(from_Masters_of_the_Universe), cartoon character,,caricature-like,a close up of a cartoon of a man with a beard and a helmet, anime movie screenshot, portrait of he - man, avatar with a blond hair, muscular!! sci-fi, 2070s, premiere, muscular! fantasy, gi joe, famous scene"
58,14830,She-Ra_(from_She-Ra:_Princess_of_Power),"She-Ra_(from_She-Ra:_Princess_of_Power), cartoon character,,caricature-like,a close up of a cartoon of a woman in a costume, she-ra, group photo, ari aster, still image from tv series, uhq, heroic scene, hgtv, 2029, sea queen, battle ready, daniel, pop culture, pearl, [ theatrical ], video, superhero from the boys tv show, stick, glimmering"
59,12748,"ThunderCats_(Lion-O,_Cheetara,_Tygra,_Panthro,_WilyKit,_and_WilyKat)","ThunderCats_(Lion-O,_Cheetara,_Tygra,_Panthro,_WilyKit,_and_WilyKat), cartoon character,,caricature-like,a close up of a cartoon character with a red hair, filmation, speedo, 2 d full body lion, gold body, thunderstom, neoprene, ax, 256x256, middle aged balding superhero, sleeveless, twink, head and torso only, christian, unibrow, mascot, male with halo"
60,29803,"The_Smurfs_(Papa_Smurf,_Smurfette,_Brainy_Smurf,_Jokey_Smurf,_etc)","The_Smurfs_(Papa_Smurf,_Smurfette,_Brainy_Smurf,_Jokey_Smurf,_etc), cartoon character,,caricature-like,cartoon character with a gift box, smurf, wikimedia commons, natgeo, oct, minn, help, presents, left, leonardo, nes, recipe, awards, bernie, joy, melbourne, gif, symbol, hasbro, boys, 💣 💥, memphis, holiday season, doodad, kids, toys, muck"
61,26473,The_Snorks,"The_Snorks, cartoon character,,caricature-like,cartoon characters of various ages and ages are depicted in this picture, squids, pink white and green, preston blair, gumdrop bunnies, yoshitaka, 6 claws, fruit, childhood, character design sheet, case, ( ( ( alien ) ) ), viral image, war of colorss, rugrats, on old paper, crab, my rendition"
62,304,"The_Care_Bears_(Tenderheart_Bear,_Cheer_Bear,_Grumpy_Bear,_Good_Luck_Bear,_etc)","The_Care_Bears_(Tenderheart_Bear,_Cheer_Bear,_Grumpy_Bear,_Good_Luck_Bear,_etc), cartoon character,,caricature-like,pink bear with rainbow on chest jumping in the air, fanpop, this character has cryokinesis, cnn, ::, 1 9 8 9, cutout, 136412351, laugh, arbor, bella, michael kors, rating:g, chicago, walls, cherry, half turned around, paul davey, islamic, carefree, thomas"
63,17111,Rainbow_Brite,"Rainbow_Brite, cartoon character,,caricature-like,cartoon girl with blonde hair and rainbow shoes, from the 8 0 s, dwarf, けもの, a brightly coloured, :6, ranger, perfect coloring, ( ( ( rainbow ) ) ), sandy, 3 colour, torri, multi - coloured, brightly colored"
64,11471,"My_Little_Pony_(Twilight_Sparkle,_Rainbow_Dash,_Pinkie_Pie,_Applejack,_Rarity,_Fluttershy)","My_Little_Pony_(Twilight_Sparkle,_Rainbow_Dash,_Pinkie_Pie,_Applejack,_Rarity,_Fluttershy), cartoon character,,caricature-like,a group of pony characters standing in a field with trees, 3278750727, pink iconic character, gif, with two characters, 2717433015, exploitable image, anthropomorphic mare, neighborhood, on clear background, bottom viewa, trinity, 🌻🎹🎼, sallon, twilight ray"
65,26681,"Jem_and_the_Holograms_(Jem,_Aja,_Kimber,_Shana,_Raya)","Jem_and_the_Holograms_(Jem,_Aja,_Kimber,_Shana,_Raya), cartoon character,,caricature-like,arafed image of a group of women in costume with guitars, 8 0 s game box art, barbie cyborg, 2 5 6 x 2 5 6 pixels, wallpapers, ( ( ( rainbow ) ) ), vixen, pose 4 of 1 6, beautiful”"
66,6977,"Alvin_and_the_Chipmunks_(Alvin,_Simon,_Theodore)","Alvin_and_the_Chipmunks_(Alvin,_Simon,_Theodore), cartoon character,,caricature-like,alvin the chipmunz wallpapers, 3 d icon for mobile game, little boy, profile pic, in style of kyrill kotashev, avatar image, paw patrol, shaggy, super detailed image, chucky style, abcdefghijklmnopqrstuvwxyz, upper body avatar, ny"
67,4743,"Transformers_(Megatron,_Bumblebee,_Starscream,_etc)","Transformers_(Megatron,_Bumblebee,_Starscream,_etc), cartoon character,,caricature-like,a close up of a robot with a purple background, !! takeshi amano!!, transformer, 256x256, character album cover, harmony of, transforming, grey metal body, alternate album cover, very very low quality picture, [sirius], prime, proportional image, kirokaze and paul robertson, single solid body, neo"
68,19284,The_Tick,"The_Tick, cartoon character,,caricature-like,a close up of a button with a tick on it, vtuber, white and orange, picsart, profile image, list, victo, square, complete body view, rocket, watermark:-1, v, best logo, uploaded, phone, plan, victoria, simplistic, 2012, clear photo, no repeat, by artist"
69,22280,"Gargoyles_(Goliath,_Demona,_Broadway,_Brooklyn,_Lexington,_Hudson,_Elisa_Maza)","Gargoyles_(Goliath,_Demona,_Broadway,_Brooklyn,_Lexington,_Hudson,_Elisa_Maza), cartoon character,,caricature-like,cartoon of a man and woman shaking hands in front of a dragon, screenshot from morbius (2022), gargoyles, sassy pose, inspired by Tim and Greg Hildebrandt, michael jackson moon dance, ! movie scene, teenage girl riding a dragon, hunchback, dolman, screen, mothman, [epic, a humanoid mosquito wolf"
70,7668,Pinky_and_the_Brain,"Pinky_and_the_Brain, cartoon character,,caricature-like,cartoon characters of a cat and a mouse standing next to each other, ren and stimpy style, movie screenshot, avatar image, video, white fox anime, clone laboratory, inspired by Peggy Bacon, red nose, modeled, biting, blank, betty boop, test, older male, looney tunes, vdovenko, theft, warp"
71,16888,Darkwing_Duck,"Darkwing_Duck, cartoon character,,caricature-like,cartoon image of a duck dressed in a purple coat and hat, supervillain, subject= duck, abcdefghijklmnopqrstuvwxyz, falcon, charactor, penguin, giraud!!, 8 к, daisy, game, he is wearing a trenchcoat, disney!!, online, bone, 2 5 6 x 2 5 6 pixels"
72,16393,"TaleSpin_(Baloo,_Kit_Cloudkicker,_Rebecca_Cunningham,_Don_Karnage)","TaleSpin_(Baloo,_Kit_Cloudkicker,_Rebecca_Cunningham,_Don_Karnage), cartoon character,,caricature-like,cartoon of a little girl dressed in a purple dress and a blue bow, head of a bear, filmation, tufty whiskers, with a bright yellow aureola, granville chandor, (smoke), smug look, [[[[grinning evily]]]], close up details, official screenshot, miniature bear, piglet, rococo"
73,29017,"DuckTales_(Scrooge_McDuck,_Huey,_Dewey,_Louie)","DuckTales_(Scrooge_McDuck,_Huey,_Dewey,_Louie), cartoon character,,caricature-like,cartoon characters on a cartoon book cover with money coming out of it, subject= duck, 1980s comic book panel, by Carl Barks, 256x256, mining, gondola, superbowl, spielberg, azulejo, gildhardho, card, bard, 1980 manga, lipkin, take off"
74,24712,The_Ren_and_Stimpy_Show,"The_Ren_and_Stimpy_Show, cartoon character,,caricature-like,cartoon characters of a dog and a cat with a caption of ren and strafy, ren and stimpy, 2 5 6 x 2 5 6, randy bishop, logo, slimey, pc boxart, 1 0 / 1 0 comedy, promo poster, rengen, detailed », rum, アニメ, ( rembrandt ), cartoon network, logos"
75,31695,Cow_and_Chicken,"Cow_and_Chicken, cartoon character,,caricature-like,cartoon cow with a pink nose and brown tail, yellow rat pig, close-up!!!!!!, wearing a bunny suit, tpose, 144p, star butterfly, wikimedia, looking from side!, patrick nagle!!!, animated, fat cat, comicbook, ( 3 1, moomin, islamic, cone, 2 5 6 x 2 5 6 pixels"
76,15943,The_Angry_Beavers,"The_Angry_Beavers, cartoon character,,caricature-like,cartoon picture of a cat and dog in a circle with a dog in the background, huge spikey teeth, ren and stimpy, zoomed in, brown ) ), two characters, serious cartoon, cockroach character, cga, tag, cartoon network, actors, keygen, scrap, profile shot, kobold, thugs, cartoon character, dreamworks"
77,22260,The_Wild_Thornberrys,"The_Wild_Thornberrys, cartoon character,,caricature-like,cartoon characters of people standing in a park with a tree, from the hit 9 0 s tv show, wild jungle, cd cover artwork, closeup!!!!!!, promotional photo, mud, family guy style, morning sunrise, voodoo”, adventuring, she, zoomed in, biting, in front of the house, wallpapers, children, fishing, by Hanna-Barbera"
78,30071,Invader_Zim,"Invader_Zim, cartoon character,,caricature-like,cartoon image of a man with a pink nose and a green head, monstrous ant, invader zim, whip, very excited, contorted, scrap, profile picture, uploaded, by Robert Childress, dancing character, cobra, cherry, waste, (grin), ny, frida, pam, detailed -4, hamburglar, cut, cr3, phone"
79,30193,Rocket_Power,"Rocket_Power, cartoon character,,caricature-like,cartoon characters of a man and a woman with a rocket power sign, big!!!!!!!!!!!!, boys, rk post, - 6, pic, -4"
80,1792,Hey_Arnold!,"Hey_Arnold!, cartoon character,,caricature-like,cartoon characters are gathered on the steps of a building, still image from tv series, in school hallway, by Greg Spalenka, promotional image, in a basement, closeup - view, sitting down, highdetaild, fans, like bebop, elevator, slide show, martine, 4 legs, oceanside, 2040, uhq, mohawk"
81,31586,Captain_America_(Steven_Rogers),"Captain America (Steven Rogers), is about to throw his shield towards the enemies, detailed characteristics, full-body with signature costume, 4K"
82,7619,"Wolverine_(James_Logan_Howlett)","Wolverine (James \""Logan\"" Howlett), with his claws crossed, detailed characteristics, full-body with signature costume, 4K"
83,16896,"Iron_Man_(Anthony_Tony_Stark)","Iron Man (Anthony \""Tony\"" Stark), is flying while preparing to fire a strike of laser beam, detailed characteristics, full-body with signature costume, 4K"
84,4427,Thor_(Thor_Odinson),"Thor (Thor Odinson), with his hammer covered with flashlight, detailed characteristics, full-body with signature costume, 4K"
85,25078,Hulk_(Robert_Bruce_Banner),"Hulk (Robert Bruce Banner), is destroying constructions, detailed characteristics, full-body with signature costume, 4K"
86,14442,Susan_Storm,"Susan Storm, is executing her mission of probing, detailed characteristics, full-body with signature costume, 4K"
87,15068,Ororo_Munroe,"Ororo Munroe, is about to release a tremendous thunderstorm, detailed characteristics, full-body with signature costume, 4K"
88,20691,Matthew_Murdock,"Matthew Murdock, plead guilty, detailed characteristics, full-body with signature costume, 4K"
89,27028,Stephen_Strange,"Stephen Strange, is opening portals using his magic, detailed characteristics, full-body with signature costume, 4K"
90,23140,John_Jonah_Jameson,"John Jonah Jameson, is thinking about writing a negative report against Spider Man, detailed characteristics, full-body with signature costume, 4K"
91,637,Warren_Worthington_III,"Warren Worthington III, is diving with his wings spreading wide, detailed characteristics, full-body with signature costume, 4K"
92,17258,Jean_Grey,"Jean Grey, possessed by the Phoenix Force, detailed characteristics, full-body with signature costume, 4K"
93,16269,Black_Widow_(Natalia_Romanova),"Black Widow (Natalia Romanova), is performing her role of an assasin, detailed characteristics, full-body with signature costume, 4K"
94,18827,Vision,"Vision, from Marvel Universe is floating in the air and ready to shot beams with his eyes, detailed characteristics, full-body with signature costume, 4K"
95,6095,Green_Lantern_(Hal_Jordan),"Green Lantern (Hal Jordan), is creating something with lantern holding in the other hand, detailed characteristics, full-body with signature costume, 4K"
96,26144,Richard_Grayson,"Richard Grayson, returns to Gotham, detailed characteristics, full-body with signature costume, 4K"
97,22412,Wonder_Woman_(Diana_Prince),"Wonder Woman (Diana Prince), is protecting herself with shield as well as attacking with whip, detailed characteristics, full-body with signature costume, 4K"
98,4982,Aquaman_(Arthur_Curry),"Aquaman (Arthur Curry), is holding his trident, detailed characteristics, full-body with signature costume, 4K"
99,11697,Flash_(Barry_Allen),"Flash (Barry Allen), is running fast, detailed characteristics, full-body with signature costume, 4K"
